x,y,z
-1188.63,937.741,0
-1192.43,929.659,0
-1191.68,917.559,0
-1190.57,905.845,0
-1192.74,896.349,0
-1191.45,884.703,0
-1191.85,874.057,0
-1193.62,864.84,0
-1192.07,853.303,0
-1192.22,842.739,0
-1192.13,832.432,0
-1192.2,821.811,0
-1194.45,811.428,0
-1194.12,801.201,0
-1195.53,791.88,0
-1195.04,781.706,0
-1196.31,772.418,0
-1195.67,762.299,0
-1196.87,752.933,0
-1196.08,742.87,0
-1197.06,733.657,0
-1197.84,724.688,0
-1196.84,714.71,0
-1197.62,705.552,0
-1196.47,695.636,0
-1197.12,686.521,0
-1199.31,678.639,0
-1199.89,669.434,0
-1200.22,660.592,0
-1199.41,649.549,0
-1201.48,641.466,0
-1201.62,632.681,0
-1201.86,623.57,0
-1201.81,614.939,0
-1200.15,604.968,0
-1200.02,596.274,0
-1203.38,589.477,0
-1203.31,580.46,0
-1204.83,572.67,0
-1204.59,563.802,0
-1204.18,555.189,0
-1203.81,546.368,0
-1205.11,538.618,0
-1206.36,530.872,0
-1205.87,521.986,0
-1206.96,514.373,0
-1206.36,505.528,0
-1207.4,497.817,0
-1208.48,489.88,0
-1207.57,481.439,0
-1206.59,473.025,0
-1206.05,463.366,0
-1206.91,455.483,0
-1207.64,447.837,0
-1208.44,439.851,0
-1210.91,433.008,0
-1211.61,425.024,0
-1210.26,416.745,0
-1210.7,409.252,0
-1211.25,401.303,0
-1211.64,393.711,0
-1212.05,385.895,0
-1210.43,377.725,0
-1210.78,369.823,0
-1210.94,362.395,0
-1211.08,354.861,0
-1213.2,347.539,0
-1211.3,339.591,0
-1213.33,332.269,0
-1213.29,324.766,0
-1213.26,317.043,0
-1213.13,309.564,0
-1212.95,302.098,0
-1214.72,294.882,0
-1214.45,287.429,0
-1216.16,280.089,0
-1215.78,272.767,0
-1215.37,265.342,0
-1216.95,257.997,0
-1216.43,250.705,0
-1217.93,243.353,0
-1217.34,235.963,0
-1216.76,228.353,0
-1218.05,221.351,0
-1217.33,213.994,0
-1218.58,206.754,0
-1219.75,199.741,0
-1218.96,192.058,0
-1218.05,184.86,0
-1217.17,177.212,0
-1218.17,170.207,0
-1219.11,163.314,0
-1220.07,155.948,0
-1220.95,148.926,0
-1219.95,140.383,0
-1218.77,132.913,0
-1221.51,126.105,0
-1222.25,118.724,0
-1222.9,111.809,0
-1221.53,104.602,0
-1222.14,97.222,0
